Rule,Previous,Issues,Files,Commits,Milliseconds,AvgI,AvgF,Prediction
no-octal,2,0,0,0,12919991000,0.0,0.0,2
no-lone-blocks,2,0,0,0,40921671000,0.0,0.0,2
indent,2,0.22560195417005932,0.18333333333333332,0,87499748000,0.04512039083401186,0.03666666666666667,2
space-infix-ops,2,0.4633557046979866,0.7841530054644809,0,1573010000,0.09267114093959732,0.15683060109289618,2
no-iterator,2,0,0,0,13305929000,0.0,0.0,2
no-cond-assign,2,0,0,0,4744774000,0.0,0.0,2
wrap-iife,2,0.0003489589391648249,0.3333333333333333,0,49261876000,6.979178783296499e-05,0.06666666666666667,2
prefer-object-spread,0,0,0,0,0,0.0,0.0,0
no-undef-init,0,0,0,0,96144225000,0.0,0.0,0
prefer-const,2,0,0,0,25781847000,0.0,0.0,2
wrap-iife,2,0.0004832214765100671,0.7786885245901639,0,987546000,9.664429530201342e-05,0.1557377049180328,2
no-case-declarations,2,0,0,0,157795228000,0.0,0.0,2
no-multi-str,2,0,0,0,6746714000,0.0,0.0,2
no-param-reassign,0,0,0,0,0,0.0,0.0,0
no-case-declarations,2,0,0,0,135163331000,0.0,0.0,2
implicit-arrow-linebreak,0,0,0,0,0,0.0,0.0,0
no-reserved-keys,0,0,0,0,0,0.0,0.0,0
no-script-url,2,0,0,0,52204501000,0.0,0.0,2
no-self-assign,2,0,0,0,8984413000,0.0,0.0,2
no-case-declarations,2,0,0,0,91196524000,0.0,0.0,2
no-with,0,0,0,0,96144225000,0.0,0.0,0
block-scoped-var,0,0,0,0,30486481000,0.0,0.0,0
no-class-assign,2,0,NaN,0,57997861000,0.0,nan,2
no-case-declarations,2,0,0,0,97275368000,0.0,0.0,2
no-fallthrough,2,0,0,0,8904940000,0.0,0.0,2
no-array-constructor,2,0,0,0,231032000,0.0,0.0,2
no-negated-in-lhs,2,0,0,0,49885444000,0.0,0.0,2
no-throw-literal,2,0.0012348993288590604,0.8306010928961749,0,2342939000,0.0002469798657718121,0.16612021857923498,2
semi-style,0,0,0,0,0,0.0,0.0,0
space-after-keywords,0,0,0,0,13028000,0.0,0.0,0
valid-jsdoc,0,0,0,0,0,0.0,0.0,0
no-unmodified-loop-condition,0,0,0,0,0,0.0,0.0,0
no-compare-neg-zero,2,0,0,0,183206000,0.0,0.0,2
no-shadow-restricted-names,2,0,0,0,11579444000,0.0,0.0,2
no-extra-parens,0,0,0,0,0,0.0,0.0,0
indent,2,0.19564964522507852,0.4166666666666667,0,63716653000,0.03912992904501571,0.08333333333333334,2
consistent-return,0,0,0,0,0,0.0,0.0,0
no-case-declarations,2,0,0,0,94990630000,0.0,0.0,2
no-path-concat,2,0,NaN,0,47394433000,0.0,nan,2
no-process-env,0,0,0,0,0,0.0,0.0,0
max-classes-per-file,0,0,0,0,0,0.0,0.0,0
no-return-await,2,0,0,0,27164659000,0.0,0.0,2
id-length,0,0,0,0,0,0.0,0.0,0
no-unused-expressions,2,0,0,0,13420349000,0.0,0.0,2
no-case-declarations,2,0,0,0,97230851000,0.0,0.0,2
no-div-regex,0,0,0,0,0,0.0,0.0,0
no-new-require,2,0,0,0,15984255000,0.0,0.0,2
no-comma-dangle,0,0,0,0,0,0.0,0.0,0
space-unary-ops,0,0,0,0,0,0.0,0.0,0
object-property-newline,2,0,NaN,0,44362711000,0.0,nan,2
no-useless-constructor,0,0,0,0,0,0.0,0.0,0
valid-typeof,2,0,0,0,14528631000,0.0,0.0,2
eqeqeq,0,0,0,0,30486481000,0.0,0.0,0
no-case-declarations,2,0,0,0,20416164000,0.0,0.0,2
handle-callback-err,0,0,0,0,0,0.0,0.0,0
prefer-object-spread,0,0,0,0,0,0.0,0.0,0
arrow-body-style,2,0,0,0,50133324000,0.0,0.0,2
no-implied-eval,2,0,0,0,47973220000,0.0,0.0,2
comma-style,0,0,0,0,96144225000,0.0,0.0,0
comma-dangle,2,0.0012091898428053204,NaN,0,40445779000,0.00024183796856106407,nan,2
object-curly-spacing,2,0.0048367593712212815,NaN,0,8721098000,0.0009673518742442563,nan,2
no-case-declarations,2,0,0,0,90140326000,0.0,0.0,2
newline-before-return,0,0,0,0,0,0.0,0.0,0
no-self-assign,2,0,NaN,0,26544218000,0.0,nan,2
no-script-url,2,0,0,0,77625435000,0.0,0.0,2
no-case-declarations,2,0,0,0,126444135000,0.0,0.0,2
radix,2,0,0,0,56343347000,0.0,0.0,2
no-sparse-arrays,2,0,0,0,42898684000,0.0,0.0,2
no-whitespace-before-property,2,0,NaN,0,54536448000,0.0,nan,2
no-fallthrough,2,0,0,0,7088550000,0.0,0.0,2
no-implied-eval,2,0,0,0,27486853000,0.0,0.0,2
no-wrap-func,2,0.0026753518669303247,0.8166666666666667,0,11625180000,0.0005350703733860649,0.16333333333333333,2
yoda,2,0,0,0,12489608000,0.0,0.0,2
no-native-reassign,0,0,0,0,105538000,0.0,0.0,0
no-lonely-if,2,0.0004832214765100671,0.819672131147541,0,8729223000,9.664429530201342e-05,0.1639344262295082,2
no-multiple-empty-lines,0,0,0,0,0,0.0,0.0,0
no-octal,2,0,NaN,0,18715000,0.0,nan,2
no-lone-blocks,2,0,0,0,2682458000,0.0,0.0,2
space-before-function-paren,0,0,0,0,30486481000,0.0,0.0,0
space-after-function-name,0,0,0,0,0,0.0,0.0,0
nonblock-statement-body-position,0,0,0,0,0,0.0,0.0,0
no-case-declarations,2,0,0,0,147520597000,0.0,0.0,2
vars-on-top,2,0,0,0,16772007000,0.0,0.0,2
no-redeclare,1,0,0,0,0,0.0,0.0,1
nonblock-statement-body-position,0,0,0,0,0,0.0,0.0,0
strict,0,0,0,0,96144225000,0.0,0.0,0
space-before-function-parentheses,0,0,0,0,0,0.0,0.0,0
no-invalid-regexp,2,0,0,0,8151312000,0.0,0.0,2
eol-last,0,0,0,0,0,0.0,0.0,0
keyword-spacing,2,0,0,0,26220736000,0.0,0.0,2
no-case-declarations,2,0,0,0,98056287000,0.0,0.0,2
no-nested-ternary,2,0.005154362416107383,0.7868852459016393,0,1833863000,0.0010308724832214767,0.15737704918032785,2
no-extra-bind,2,0,0,0,9956045000,0.0,0.0,2
no-useless-constructor,2,0,NaN,0,17172000,0.0,nan,2
id-match,0,0,0,0,0,0.0,0.0,0
no-new-object,2,0,0,0,897058000,0.0,0.0,2
valid-jsdoc,2,0.0019280205655526992,0.8695652173913043,0,19731141000,0.0003856041131105398,0.17391304347826086,2
array-bracket-spacing,0,0,0,0,0,0.0,0.0,0
no-catch-shadow,2,0,0,0,51537871000,0.0,0.0,2
one-var,0,0,0,0,0,0.0,0.0,0
consistent-this,0,0,0,0,0,0.0,0.0,0
no-extend-native,2,0,0,0,58455951000,0.0,0.0,2
rest-spread-spacing,0,0,0,0,0,0.0,0.0,0
quotes,2,0.09904617889961614,0.23333333333333334,0,11038741000,0.019809235779923228,0.04666666666666667,2
multiline-comment-style,0,0,0,0,0,0.0,0.0,0
no-console,0,0,0,0,0,0.0,0.0,0
max-params,0,0,0,0,0,0.0,0.0,0
no-mixed-spaces-and-tabs,0,0,0,0,30486481000,0.0,0.0,0
no-eval,2,0,0,0,3095293000,0.0,0.0,2
key-spacing,0,0,0,0,0,0.0,0.0,0
complexity,1,0,0,0,0,0.0,0.0,1
object-property-newline,0,0,0,0,0,0.0,0.0,0
no-mixed-spaces-and-tabs,0,0,0,0,0,0.0,0.0,0
new-parens,0,0,0,0,96144225000,0.0,0.0,0
no-empty-character-class,2,0,0,0,17386106000,0.0,0.0,2
no-case-declarations,2,0,0,0,93262733000,0.0,0.0,2
operator-linebreak,0,0,0,0,0,0.0,0.0,0
no-useless-escape,2,0,0,0,4756645000,0.0,0.0,2
comma-spacing,0,0,0,0,0,0.0,0.0,0
no-irregular-whitespace,2,0,0,0,100873321000,0.0,0.0,2
max-len,0,0,0,0,0,0.0,0.0,0
no-octal-escape,0,0,0,0,1183496000,0.0,0.0,0
no-irregular-whitespace,2,0,0,0,9550807000,0.0,0.0,2
no-case-declarations,2,0,0,0,92574860000,0.0,0.0,2
no-multi-spaces,0,0,0,0,0,0.0,0.0,0
no-case-declarations,2,0,0,0,107004113000,0.0,0.0,2
func-names,0,0,0,0,0,0.0,0.0,0
object-shorthand,0,0,0,0,30486481000,0.0,0.0,0
quotes,2,0.28332885906040267,0.8387978142076503,0,4752194000,0.05666577181208053,0.16775956284153007,2
no-case-declarations,2,0,0,0,116056796000,0.0,0.0,2
radix,2,0,0,0,67439320000,0.0,0.0,2
no-array-constructor,2,0,0,0,67245749000,0.0,0.0,2
no-case-declarations,2,0,0,0,97326729000,0.0,0.0,2
spaced-comment,0,0,0,0,30486481000,0.0,0.0,0
key-spacing,0,0,0,0,0,0.0,0.0,0
no-shadow-restricted-names,2,0.00023263929277654997,0.85,0,53823856000,4.652785855530999e-05,0.16999999999999998,2
no-sequences,2,0.00016107382550335572,0.7759562841530054,0,829405000,3.2214765100671146e-05,0.1551912568306011,2
dot-location,0,0,0,0,0,0.0,0.0,0
no-inline-comments,0,0,0,0,0,0.0,0.0,0
one-var,2,0,0,0,6485168000,0.0,0.0,2
no-extra-boolean-cast,2,0,0,0,69362051000,0.0,0.0,2
no-redeclare,2,0.004134228187919463,0.42896174863387976,0,67096615000,0.0008268456375838927,0.08579234972677595,2
prefer-object-spread,0,0,0,0,0,0.0,0.0,0
lines-around-directive,0,0,0,0,0,0.0,0.0,0
symbol-description,0,0,0,0,0,0.0,0.0,0
no-new-object,2,0.0023087248322147653,0.09836065573770492,0,94363116000,0.00046174496644295305,0.019672131147540982,2
no-underscore-dangle,0,0,0,0,0,0.0,0.0,0
radix,2,0,0,0,55942852000,0.0,0.0,2
no-useless-escape,2,0,0,0,41036138000,0.0,0.0,2
space-unary-word-ops,0,0,0,0,0,0.0,0.0,0
no-ex-assign,2,0,0,0,69463185000,0.0,0.0,2
valid-typeof,2,0,0,0,73122757000,0.0,0.0,2
prefer-reflect,0,0,0,0,0,0.0,0.0,0
no-unused-expressions,2,0,0,0,33789856000,0.0,0.0,2
max-classes-per-file,0,0,0,0,0,0.0,0.0,0
no-bitwise,0,0,0,0,0,0.0,0.0,0
yoda,2,0,NaN,0,8680731000,0.0,nan,2
no-dupe-keys,2,0,0,0,26516573000,0.0,0.0,2
no-restricted-globals,0,0,0,0,0,0.0,0.0,0
no-extra-semi,0,0,0,0,0,0.0,0.0,0
id-length,0,0,0,0,0,0.0,0.0,0
wrap-iife,0,0,0,0,0,0.0,0.0,0
space-before-blocks,0,0,0,0,0,0.0,0.0,0
handle-callback-err,2,0,0,0,87481193000,0.0,0.0,2
max-statements-per-line,0,0,0,0,0,0.0,0.0,0
consistent-return,0,0,0,0,0,0.0,0.0,0
no-implied-eval,0,0,0,0,30486481000,0.0,0.0,0
no-mixed-spaces-and-tabs,2,0,NaN,0,42978151000,0.0,nan,2
no-undef-init,2,0,0,0,69641072000,0.0,0.0,2
no-eval,2,0,0,0,20044778000,0.0,0.0,2
no-case-declarations,2,0,0,0,97098921000,0.0,0.0,2
max-depth,0,0,0,0,0,0.0,0.0,0
no-extra-bind,2,0,0,0,1765640000,0.0,0.0,2
no-unreachable,2,0,0,0,118844636000,0.0,0.0,2
no-case-declarations,2,0,0,0,161075014000,0.0,0.0,2
no-inner-declarations,1,0,0,0,0,0.0,0.0,1
no-div-regex,0,0,0,0,0,0.0,0.0,0
one-var,0,0,0,0,0,0.0,0.0,0
no-proto,0,0,0,0,96144225000,0.0,0.0,0
newline-before-return,0,0,0,0,0,0.0,0.0,0
prefer-arrow-callback,0,0,0,0,0,0.0,0.0,0
arrow-spacing,0,0,0,0,0,0.0,0.0,0
func-names,1,0,0,0,0,0.0,0.0,1
no-useless-call,0,0,0,0,0,0.0,0.0,0
no-fallthrough,2,0,0,0,32395249000,0.0,0.0,2
no-loop-func,2,0,0,0,25520683000,0.0,0.0,2
no-eval,2,0,0,0,22420188000,0.0,0.0,2
no-else-return,0,0,0,0,0,0.0,0.0,0
lines-between-class-members,0,0,0,0,0,0.0,0.0,0
no-misleading-character-class,0,0,0,0,0,0.0,0.0,0
no-space-before-semi,0,0,0,0,0,0.0,0.0,0
valid-jsdoc,0,0,0,0,30486481000,0.0,0.0,0
no-script-url,2,0,0,0,47379826000,0.0,0.0,2
no-native-reassign,0,0,0,0,0,0.0,0.0,0
eol-last,0,0,0,0,0,0.0,0.0,0
no-case-declarations,2,0,0,0,132250733000,0.0,0.0,2
no-unmodified-loop-condition,2,0,0,0,17447029000,0.0,0.0,2
no-underscore-dangle,0,0,0,0,0,0.0,0.0,0
no-labels,2,0,0,0,63105579000,0.0,0.0,2
no-bitwise,2,0,0,0,13315979000,0.0,0.0,2
new-parens,2,0,0,0,12933191000,0.0,0.0,2
no-delete-var,2,0,0,0,47645645000,0.0,0.0,2
computed-property-spacing,0,0,0,0,0,0.0,0.0,0
require-atomic-updates,0,0,0,0,0,0.0,0.0,0
no-extend-native,2,0,0,0,23001290000,0.0,0.0,2
no-unused-labels,2,0,0,0,11202903000,0.0,0.0,2
no-label-var,2,0,0,0,13233859000,0.0,0.0,2
no-new-symbol,2,0,0,0,13622772000,0.0,0.0,2
no-undef-init,2,0,0,0,71234998000,0.0,0.0,2
max-len,0,0,0,0,0,0.0,0.0,0
space-after-keywords,0,0,0,0,13028000,0.0,0.0,0
no-multi-spaces,2,0,0,0,21492604000,0.0,0.0,2
quotes,0,0,0,0,0,0.0,0.0,0
no-multi-assign,0,0,0,0,0,0.0,0.0,0
no-labels,2,0,0,0,60014917000,0.0,0.0,2
yield-star-spacing,0,0,0,0,0,0.0,0.0,0
wrap-iife,0,0,0,0,0,0.0,0.0,0
no-delete-var,2,0,0,0,57775978000,0.0,0.0,2
computed-property-spacing,0,0,0,0,0,0.0,0.0,0
no-dupe-keys,2,0,0,0,11492573000,0.0,0.0,2
no-floating-decimal,2,0,0,0,13172579000,0.0,0.0,2
key-spacing,0,0,0,0,96144225000,0.0,0.0,0
lines-around-directive,0,0,0,0,0,0.0,0.0,0
no-useless-constructor,2,0,0,0,11789040000,0.0,0.0,2
no-this-before-super,2,0,0,0,15381015000,0.0,0.0,2
no-unsafe-negation,2,0,NaN,0,41299025000,0.0,nan,2
no-lonely-if,0,0,0,0,0,0.0,0.0,0
key-spacing,2,0.003954867977201349,0.7833333333333333,0,49166399000,0.0007909735954402698,0.15666666666666668,2
no-return-assign,2,0,0,0,7348712000,0.0,0.0,2
no-fallthrough,2,0,NaN,0,40455491000,0.0,nan,2
no-implied-eval,2,0,0,0,64314064000,0.0,0.0,2
keyword-spacing,0,0,0,0,30486481000,0.0,0.0,0
no-case-declarations,2,0,0,0,135420593000,0.0,0.0,2
no-case-declarations,2,0,0,0,11334902000,0.0,0.0,2
quote-props,0,0,0,0,30486481000,0.0,0.0,0
no-script-url,2,0,0,0,7085752000,0.0,0.0,2
no-useless-rename,0,0,0,0,0,0.0,0.0,0
no-new-require,2,0,0,0,18508579000,0.0,0.0,2
no-space-before-semi,0,0,0,0,0,0.0,0.0,0
guard-for-in,2,0,0,0,10045289000,0.0,0.0,2
space-before-blocks,2,0.02361288821681982,0.6,0,46786196000,0.004722577643363964,0.12,2
no-invalid-regexp,2,0,0,0,122303491000,0.0,0.0,2
no-useless-call,2,0,0,0,13196929000,0.0,0.0,2
no-new-require,2,0,0,0,11620095000,0.0,0.0,2
no-duplicate-imports,0,0,0,0,0,0.0,0.0,0
space-before-blocks,2,0,0,0,3925415000,0.0,0.0,2
no-loop-func,0,0,0,0,0,0.0,0.0,0
no-multi-assign,0,0,0,0,0,0.0,0.0,0
no-unused-labels,2,0,0,0,2310733000,0.0,0.0,2
no-octal,0,0,0,0,1183496000,0.0,0.0,0
no-trailing-spaces,2,0.005906040268456376,0.8715846994535519,0,2667616000,0.0011812080536912752,0.17431693989071037,2
no-process-env,2,0,0,0,13914314000,0.0,0.0,2
no-return-await,2,0,0,0,8458673000,0.0,0.0,2
use-isnan,2,0,0,0,45653126000,0.0,0.0,2
no-implicit-coercion,0,0,0,0,0,0.0,0.0,0
func-style,0,0,0,0,0,0.0,0.0,0
camelcase,2,0,0,0,3624746000,0.0,0.0,2
no-undefined,0,0,0,0,0,0.0,0.0,0
no-irregular-whitespace,2,0,0,0,109770399000,0.0,0.0,2
no-return-await,2,0,0,0,7160441000,0.0,0.0,2
no-case-declarations,2,0,0,0,139225164000,0.0,0.0,2
no-script-url,2,0,0,0,1151105000,0.0,0.0,2
block-spacing,0,0,0,0,0,0.0,0.0,0
no-extra-boolean-cast,2,0,NaN,0,4843798000,0.0,nan,2
no-caller,2,0,0,0,43642999000,0.0,0.0,2
space-unary-ops,0,0,0,0,0,0.0,0.0,0
no-proto,2,0,0,0,4070070000,0.0,0.0,2
no-comma-dangle,1,0,0,0,0,0.0,0.0,1
no-unused-labels,2,0,0,0,46205759000,0.0,0.0,2
one-var-declaration-per-line,0,0,0,0,0,0.0,0.0,0
no-underscore-dangle,0,0,0,0,0,0.0,0.0,0
eol-last,0,0,0,0,0,0.0,0.0,0
prefer-numeric-literals,0,0,0,0,0,0.0,0.0,0
space-before-blocks,2,0.026753518669303245,0.8,0,52227697000,0.005350703733860649,0.16,2
no-comma-dangle,1,0,0,0,0,0.0,0.0,1
no-constant-condition,2,0,0,0,11871614000,0.0,0.0,2
no-useless-escape,0,0,0,0,0,0.0,0.0,0
space-before-blocks,2,0.02640455973013842,0.8,0,51418139000,0.005280911946027684,0.16,2
wrap-iife,0,0,0,0,0,0.0,0.0,0
no-void,0,0,0,0,0,0.0,0.0,0
no-self-compare,2,0,0,0,44777295000,0.0,0.0,2
eqeqeq,2,0.14265771812080538,0.855191256830601,0,16183911000,0.028531543624161076,0.17103825136612022,2
no-underscore-dangle,0,0,0,0,0,0.0,0.0,0
no-self-compare,0,0,0,0,0,0.0,0.0,0
use-isnan,2,0,0,0,126604645000,0.0,0.0,2
no-process-exit,0,0,0,0,0,0.0,0.0,0
array-element-newline,0,0,0,0,0,0.0,0.0,0
no-useless-return,2,0,0,0,12622410000,0.0,0.0,2
no-buffer-constructor,2,0,0,0,40450672000,0.0,0.0,2
no-ex-assign,2,0,0,0,17488012000,0.0,0.0,2
no-shadow-restricted-names,2,0,0,0,1656505000,0.0,0.0,2
comma-style,2,0,0,0,11037867000,0.0,0.0,2
consistent-this,0,0,0,0,0,0.0,0.0,0
block-scoped-var,0,0,0,0,30486481000,0.0,0.0,0
no-octal,2,0,0,0,6567800000,0.0,0.0,2
no-wrap-func,0,0,0,0,18503289000,0.0,0.0,0
no-script-url,2,0,0,0,42068284000,0.0,0.0,2
guard-for-in,2,0.01497986577181208,0.855191256830601,0,14530139000,0.002995973154362416,0.17103825136612022,2
no-cond-assign,2,0,0,0,10029250000,0.0,0.0,2
max-classes-per-file,0,0,0,0,0,0.0,0.0,0
no-iterator,2,0,0,0,56705727000,0.0,0.0,2
no-case-declarations,2,0,0,0,161002942000,0.0,0.0,2
init-declarations,0,0,0,0,0,0.0,0.0,0
no-catch-shadow,2,0.008053691275167786,0.8169398907103825,0,4315724000,0.0016107382550335572,0.1633879781420765,2
func-style,0,0,0,0,0,0.0,0.0,0
space-after-keywords,2,0.015677852348993288,0.7978142076502732,0,1463778000,0.0031355704697986577,0.15956284153005465,2
curly,0,0,0,0,0,0.0,0.0,0
max-lines-per-function,0,0,0,0,0,0.0,0.0,0
consistent-this,0,0,0,0,0,0.0,0.0,0
no-nested-ternary,2,0.009503355704697987,0.8333333333333334,0,11763828000,0.0019006711409395975,0.16666666666666669,2
no-warning-comments,0,0,0,0,0,0.0,0.0,0
curly,0,0,0,0,0,0.0,0.0,0
camelcase,2,0,0,0,53175543000,0.0,0.0,2
prefer-promise-reject-errors,2,0,0,0,12537906000,0.0,0.0,2
no-redeclare,1,0,0,0,0,0.0,0.0,1
no-shadow-restricted-names,2,0,0,0,16983183000,0.0,0.0,2
sort-keys,0,0,0,0,0,0.0,0.0,0
no-ex-assign,2,0,0,0,116314807000,0.0,0.0,2
no-underscore-dangle,0,0,0,0,0,0.0,0.0,0
operator-linebreak,2,0,0,0,16411111000,0.0,0.0,2
new-cap,2,0,NaN,0,49857665000,0.0,nan,2
indent-legacy,0,0,0,0,0,0.0,0.0,0
no-class-assign,2,0,0,0,12255000,0.0,0.0,2
no-self-assign,2,0,NaN,0,59109702000,0.0,nan,2
